name,gtin13,price,availability,description,brand,breadcrumbsgroup1,breadcrumbsgroup2,breadcrumbsgroup3,images,,,,
Bayswood Artificial Snake Plant,5.06E+12,16,InStock,Bayswood Artificial Snake Plant,BAYSWOOD,Home & Ents,Home Accessories,Decorative Accessories,https://digitalcontent.api.tesco.com/v2/media/ghs/d2344adc-2768-4175-9917-17b2bb1820f0/97c6e0da-291f-443f-837b-87c8dcbba616_1815995581.jpeg,,,,
Youngs Gastro Cod Parmesan Parsley 2 F/Cakes 270G,5.00E+12,3.5,InStock,"Cod and Alaska Pollock Fish Cakes with Parmesan and Parsley in Breadcrumb. Responsibly sourced fish for life®. Our fish for life® programme makes sure all our fish is responsibly sourced. To see how we do the right things to conserve fish for future generations visit www.youngsseafood.co.uk. Restaurant Quality Fish,Chunky",YOUNG'S,Frozen Food,Frozen Fish & Seafood,Frozen Fish Cakes & Dippers,https://digitalcontent.api.tesco.com/v2/media/ghs/6d2c7671-4c00-4ef0-982f-df07164af2e2/553e3538-cc4c-4f60-8f18-c25e981d2737.jpeg,,,,
Joseph Joseph Grey Duo Multi Grip Mandoline,5.03E+12,10,InStock,"JOSEPH JOSEPH GREY DUO MULTI GRIP MANDOLINE . Safely and evenly slice a variety of fruit and vegetables,Precision food grip features three styles of grip: Pinch grip for small items; Centre grip for round slices; Flat grip for longer slices,Sharp stainless-steel blade",JOSEPH JOSEPH,Home & Ents,Cooking & Dining,Kitchen Utensils,https://digitalcontent.api.tesco.com/v2/media/ghs/67b8cf5f-aa04-4d1f-ac22-9087b6de4d29/61a95f2d-3bf1-4d23-909b-69b01ffa25a1_1032181186.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/c1b6f1cb-cd6c-4648-a352-80f27c3ad4ff/9ba034d7-fec1-4bd9-a651-80175cb2c412_1664902119.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/9632ddf8-35b2-47a1-a965-ee69aa0dc240/d616bbb6-d2c5-4e98-99b9-0dd849007bb2_717111275.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/74453d34-f4c2-4147-bfbb-bbaffc3f8e0f/b0063ea0-21e0-44cb-8675-b68fb877accd_1971803361.jpeg,
Harry's Shave Cream With Eucalyptus,8.55E+11,7,InStock,"Harry's Shave Cream With Eucalyptus. Cushions your shave & conditions your skin,With aloe & eucalyptus",HARRY'S,Health & Beauty,Men's Toiletries,Shaving,https://digitalcontent.api.tesco.com/v2/media/ghs/75acaa81-44fb-4193-844e-ff9d2eb849ec/2335811b-949e-4c14-a9c9-205e26863bc7_1758807207.jpeg,,,,
Keep It Handy 6 In 1 Screwdriver,5.06E+12,1.5,InStock,"Keep It Handy 6 In 1 Screwdriver. Includes an assortment of crosshead, flathead and hexagonal bits",KEEP IT HANDY,Home & Ents,DIY & Car Care,DIY,https://digitalcontent.api.tesco.com/v2/media/ghs/224f5e16-0cfa-49b4-bd96-4f685f810d30/9f706144-8185-4682-bb1f-11b84633a69c_1605622920.jpeg,,,,
Tesco Belonging Alphabet Mug A,5.06E+12,3.5,OutOfStock,"TESCO BLGING ALPHABET MUG A . Alphabet mug available in other letters,Letter A",TESCO HOME,Home & Ents,Cooking & Dining,Tableware,https://digitalcontent.api.tesco.com/v2/media/ghs/dd54cd83-f810-40db-9f40-6f9de5bc7192/4b7a0af6-bbe3-41fb-8c7a-72aafa2169cb_2136050441.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/6250b0ed-2ccc-4743-bc06-cef43a872f52/975eca52-cdbc-43f8-8db9-323925c2f032_199327017.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5d9745-dea2-45fd-8686-e5721e01e46a/5904c783-bf9e-49f7-8628-0d92cfe6a7a6_1463224559.jpeg,,
Tesco Balti Sauce 500G,5.05E+12,1,InStock,A spicy tomato based sauce with onion and green and red peppers.,TESCO,Food Cupboard,"Cooking Sauces, Meal Kits & Sides",Indian,https://digitalcontent.api.tesco.com/v2/media/ghs/4be80839-c141-409e-ab28-9987abd8c97e/2e3a2565-2de3-486a-9610-644f18171307_1189246237.jpeg,,,,
Ryvita Cheddar & Crack Black Pepper Thins 125G,5.05E+12,2,InStock,"Wheat and Rye Flatbread with Mature Cheddar & Cracked Black Pepper. 31 Calories Per Thin,British Baked,High in Fibre,No Artificial Preservatives,Source of Protein,Great Taste,Vegetarian Friendly",RYVITA,Food Cupboard,Crackers & Crispbreads,"Cheese Crackers, Breadsticks & Dipping",https://digitalcontent.api.tesco.com/v2/media/ghs/1b9648ac-56c8-44af-9171-04981427e6be/b87f095b-e3e3-434f-8ded-eead1f407272_1124947495.jpeg,,,,
Mr Kipling Lemon Slice 6 Pack,5.00E+12,1.35,InStock,"Lemon Flavoured Sponge with a Lemon Flavour Filling (12%), Topped with a Decorated Lemon Flavoured Icing (26%). Mr Kipling Lemon Layered Slices,Light lemon sponge slices with a zingy filling and icing,100% natural flavours,Suitable for vegetarians,Individually wrapped twin packs",MR KIPLING,Bakery,"Cakes, Cake Bars, Slices & Pies","Small Cakes, Bites & Slices",https://digitalcontent.api.tesco.com/v2/media/ghs/9e2e1403-9058-4eac-8738-2b2cfa0b1882/21d9554a-3185-4d40-b5ff-5e4355e4e972.jpeg,,,,
Peckish 6 Energy Balls 6X80g,5.06E+12,1.5,InStock,"A complementary feed for wild birds. Attracts Popular Garden Birds,High Energy Sunflower Seeds,Sustainably Sourced",PECKISH,Pets,"Small Animal, Fish & Bird",Wild & Domestic Bird Food & Accessories,https://digitalcontent.api.tesco.com/v2/media/ghs/877ec206-9e6d-45bc-8b13-ad8f61721cb4/f8a3d1b3-01cc-48ae-adf0-06b7a7155b9c_547268837.jpeg,,,,
Sharpie S Gel Metallic Black 2 Pen 2 Refill,3.03E+12,9,InStock,SHARPIE S GEL METALLIC BLACK 2 PEN 2 REFILL ,SHARPIE,Home & Ents,"Stationery, Arts & Crafts",Pens & Pencils,https://digitalcontent.api.tesco.com/v2/media/ghs/be24bbd9-81b4-498f-9339-5469bafa95b5/13e1dc39-f1bd-45de-a7a7-c4127f31be09_1179128725.jpeg,,,,
Tesco All Purpose Chopping Board,5.05E+12,2.5,InStock,Tesco All Purpose Chopping Board. Single Chopping Board,TESCO HOME,Home & Ents,Cooking & Dining,Food Preparation,https://digitalcontent.api.tesco.com/v2/media/ghs/a9cbf471-be6b-4fe9-8790-3963e21222e6/b39bd6a7-f5f4-4d14-bb4e-e211a7ad7a39_1202927065.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/c7bf6c0d-6c3e-4706-8aaf-778852c83394/028de3b8-dfec-4f82-8a50-d607f3e95b6d_1531024011.jpeg,,,
Tesco British Pork Crumbed Ham 125G,5.05E+12,2,InStock,"Sliced, cured and cooked formed ham made from selected cuts of pork leg meat, coated with gluten free breadcrumbs.",TESCO,Fresh Food,"Cooked Meats, Antipasti & Dips",Ham Slices,https://digitalcontent.api.tesco.com/v2/media/ghs/e4f8b949-0d06-4b54-a7eb-af1283b6bf60/f2224b86-58a8-4288-b1fc-1434c506d1e5.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/64ad524b-c22d-4b70-8f2d-6ed6bc3caefe/36bef8d3-09a9-44b6-9ae9-912f289147d1_1015494986.jpeg,,,
The Corner Deli Co. Chilli Crackers 65G,5.00E+12,1.6,InStock,"Chilli Rice Crackers. Chilli rating - 2,Spicy, crunchy chilli crackers, perfect for snacking,Suitable for vegetarians",DELICATESSEN,Fresh Food,Counters,Counter - Cheese,https://digitalcontent.api.tesco.com/v2/media/ghs/81fe8f61-a995-4611-be69-e890c660bff8/36b3ed3c-1ddc-4109-ba2f-b8f81e49cc71.jpeg,,,,
Quorn Crispy Nuggets 476G,5.02E+12,2.95,InStock,"Meat free savoury flavour nuggets, made with mycoprotein, coated in a crispy batter. Sustainable nutrition. Quorn products are a source of protein because they contain Quorn mycoprotein; a nutritious and sustainable protein source. Quorn mycoprotein is footprinted by the carbon trust and has less impact on our planet's resources. Recommended Netmums. In a poll of 103 Netmums members, 98% would recommend Quorn Crispy Nuggets to a friend or family. To discover delicious recipes made with Quorn products and to find out more about our approach to sustainable nutrition visit www.quorn.co.uk and get social with us!. Deliciously meat free,Source of Protein,Low in Saturated Fat,Source of Fibre,No Soy,Vegetarian Society Approved",QUORN,Frozen Food,Frozen Vegetarian & Vegan,"Frozen Nuggets, Meatballs & Bites",https://digitalcontent.api.tesco.com/v2/media/ghs/1b68afe8-7f07-4554-bfda-21e8c75b372b/9b1f17c7-583a-44c7-93cb-c1b02f909a22.jpeg,,,,
Tesco Finest Marron Chestnuts 400G,3492109,3.5,OutOfStock,Lasered Marron chestnut.,TESCO FINEST,Fresh Food,Fresh Fruit,"Dried Fruit, Nuts & Seeds",https://digitalcontent.api.tesco.com/v2/media/ghs/79b189ef-b4dc-4c0a-bf93-5cc56db4fa98/2c404e0c-ab97-4b11-8b36-b4c9fbc8abf1.jpeg,,,,
Tiger Tiger 5Mm Rice Sticks 400G,5.02E+12,2.4,InStock,"Tiger Tiger 5Mm Rice Sticks 400G. Unleash the Taste,Naturally Gluten Free,Medium - 5mm,Perfect for adding to soups and stir fries",TIGER TIGER,Food Cupboard,World Foods,Chinese & South East Asian,https://digitalcontent.api.tesco.com/v2/media/ghs/1754f8c7-3133-4e71-bc13-e60b5b6336c1/853b2aa4-c545-4483-a3e3-6e09f603e842_1325357260.jpeg,,,,
Vaseline Original Petroleum Jelly 100Ml,42182634,2,InStock,"Vaseline Original Petroleum Jelly 100Ml. Moisturise your skin . Pure petroleum jelly . Suitable for all skin types . Made with triple-purified Petroleum Jelly, Vaseline Original protects dry, cracked skin and locks in moisture to keep it healthy,Vaseline Petroleum Jelly is clinically proven to help heal dry or damaged skin,The original wonder jelly can be used on dry skin, stressed skin, and sensitive skin to protect it from windburn or chapping,Vaseline provides dry skin relief and helps protect minor cuts, scrapes and burns,Petroleum Jelly is hypoallergenic, dermatologically tested and non-comedogenic, so it will not clog your pores,Vaseline cares for the skin you're born in, which is why our Petroleum Jelly works deep to moisturise dry, rough, and irritated skin",VASELINE,Baby,Baby & Toddler Toiletries,Nappy Cream,https://digitalcontent.api.tesco.com/v2/media/ghs/23397430-1012-46d2-838c-54f85d36701d/be47939a-5693-4ab7-b30b-aafd9e9f3c3a_1426716094.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/35118cf2-3e86-4f5a-9bbf-efe60f201505/68a34ee9-e130-414d-a8d1-c4cad84b3ef1_52356352.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/100ecb8e-d645-41fb-87e4-6d8ff0d52cc3/585c8682-e399-4122-9a51-d20fa85f7d7f_583014191.jpeg,,
Cushelle Quilted 3 Ply 16 Roll Family Pack,7.32E+12,11.45,InStock,"Cushelle Quilted 3 Ply 16 Roll Family Pack. Average roll length 18.5 m,Average sheet size 118 x 104 mm,Quilted for extra softness & strength,Average 157 sheets per roll,Available in 4 roll, 6 roll, 9 roll,16 roll and 24 roll,3-ply",CUSHELLE,Household,Toilet Roll,Quilted Toilet Roll,https://digitalcontent.api.tesco.com/v2/media/ghs/016ab2d3-2a18-4771-ad61-6b5419ac4673/c04645fb-9b94-4f87-ac22-e0adf6865664_1693326886.jpeg,,,,
Strepsils Throat Pain Honey & Lemon X24,5.01E+12,5,InStock,Strepsils Throat Pain Honey & Lemon X24. Pain relief for sore throats,STREPSILS,Health & Beauty,Medicine,Sore Throat,https://digitalcontent.api.tesco.com/v2/media/ghs/5b12730f-428a-474f-a4ca-9f54fc13a11a/93f7fcb3-5268-4796-9403-264f9f88376c_1356534480.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/737119d8-0b4e-4468-aed1-373f124e2320/f7767ffc-3efb-4fef-96c9-8cbdc023e0c4_1817836127.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/52fcc49d-7f09-4053-a073-e66d4f1323b4/10807f3e-c7bd-46b7-bde1-cecc3bcbba0a_650346711.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/24ac82aa-7c95-45fb-a4f2-5b89420263d2/a907d704-0d37-476e-a610-d218a49a5f1d_371452597.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/2688138d-a056-4e60-841e-82c0d6ab5b07/a35d454f-7a0a-4136-b10a-db4bdc2a9728_368959311.jpeg
Dairy Pride Uht Skimmed Milk 1 Litre,5.00E+12,0.7,OutOfStock,"Ultra Heat Treated Skimmed Milk. Longer lasting UHT milk,0.1% fat,British milk,No additives or preservatives",DP,Fresh Food,"Milk, Butter & Eggs",Milk,https://digitalcontent.api.tesco.com/v2/media/ghs/d2fdb6c5-897e-42b6-97ce-3694e015cdf3/d3632bad-28c4-4448-9d18-36a98474b0fb_2123041940.jpeg,,,,
Fox & Ivy Malmo Cereal Bowl,5.06E+12,4.5,InStock,"Fox & Ivy Malmo Cereal Bowl. The reactive glaze color is natural,Stoneware,Excellent quality",Fox & Ivy,Home & Ents,Cooking & Dining,Tableware,https://digitalcontent.api.tesco.com/v2/media/ghs/43113173-2d87-47d9-9238-4923a0e38b21/3273b4b3-2944-4f84-89fe-2aca072dc042_2090331564.jpeg,,,,
Philadelphia Original Soft Cheese 280G,7.62E+12,3.25,InStock,"Full fat soft cheese. For delicious recipe ideas or any other comments, visit: www.philadelphia.co.uk. Fresh and creamy taste,Made with Simply Good Ingredients Milk, Cream, Pinch of Salt,No Preservatives,Made with pasteurised milk,Suitable for Vegetarians",PHILADELPHIA,Fresh Food,Cheese,Cottage Cheese & Soft Cheese,https://digitalcontent.api.tesco.com/v2/media/ghs/c6041f54-fc64-4125-ab23-7a12ccf31fff/06096e7c-ff1d-4009-b171-4b62ee12fcc8_1014290229.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/7d4944c7-e163-4605-99c3-2ee605b7e1d3/67bd4b34-343c-4071-9318-b58b4c96db1d_1456603083.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/b2bd2369-aebd-4f45-85b4-c49aab6b0d3e/c938e52f-c7e4-41f5-b8fd-176a25debf37_2084004598.jpeg,,
Halo Top Peanut Butter Swirl Sticks 3 X 100Ml,1.23E+12,3.95,InStock,"Peanut Butter Flavoured Ice Cream with Peanut Butter (12.9%), with Sugars and Sweeteners. 100 kcal per bar",HALO TOP,Frozen Food,"Ice Cream, Ice Lollies & Frozen Desserts",Ice Cream Sticks,https://digitalcontent.api.tesco.com/v2/media/ghs/6e15996f-423f-457d-b919-7140933538ac/b08aebfd-1772-4826-9162-85646a9b8569.jpeg,,,,
Tesco Tuna Chunks In Sunflower Oil 145G,3341162,0.8,InStock,Skipjack tuna chunks in sunflower oil.,TESCO,Food Cupboard,"Tins, Cans & Packets",Tinned Fish & Seafood,https://digitalcontent.api.tesco.com/v2/media/ghs/f4520c00-1202-40c1-87ed-63e9db95870c/ff91f26d-82bc-4bdb-bd55-6bab4ad6e6dd_310314048.jpeg,,,,
Tesco Vegetable Suet 200G,5.06E+12,1.3,InStock,Shredded vegetable suet.,TESCO,Food Cupboard,Home Baking & Sugar,Suet,https://digitalcontent.api.tesco.com/v2/media/ghs/8ac91681-80a5-49aa-b38b-72a6c6ca1617/97b68fcf-538a-464d-bd35-0917ee793878_652417935.jpeg,,,,
Good Boy Wagtastic Jumbo Twist Chicken 70G,5.00E+12,2.25,InStock,"A Complementary Pet Food for Dogs. Yummy dog treats,100% natural chicken breast meat,Promotes dental hygiene,Get your dog's tail wagging!,Containing no artificial colours, flavours or preservatives",WAGTASTIC,Pets,Dog Food & Accessories,"Dog Treats, Dental Chews & Biscuits",https://digitalcontent.api.tesco.com/v2/media/ghs/ddec5dec-6c5b-4fc3-a90e-bbeabf8022dc/345f7f4d-e146-4be0-8e8e-79ef053275bb_627641552.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/ed896036-d65e-48a6-a12f-f82fc2a99398/8ce407a5-f241-4047-976f-5aad7e4af16d_839446369.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/667780fb-06b1-40ad-9479-406d7a13299e/a780b01c-fa77-4ec9-9052-ae84daff3682_451489731.jpeg,,
Fred & Flo Easy Fit Pants Size 4 42Pk,5.06E+12,4,InStock,Fred & Flo Easy Fit Nappy Pant Size 4 42pk,FRED & FLO,Baby,Nappies & Pants,Size 4 & 4+ Nappies & Pants,https://digitalcontent.api.tesco.com/v2/media/ghs/05b12aaf-3951-4361-b29f-06241bf21680/03e3411d-5dc3-41ae-b4f9-1655053d8a6d_1548980284.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/95f7fd1e-d84f-4aa5-8fa8-14753ceca175/0ca6cb5c-9320-4202-8580-77f249fe96d3_2120405573.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/ab41b3a3-a8a8-40f5-944c-93e5cbb52af1/ad96ea4d-988d-45a0-b5aa-1914f45f3552_623938454.jpeg,https://digitalcontent.api.tesco.com/v2/media/ghs/12df496d-32e1-449f-9951-80c8e096e5f6/261257eb-04cb-4f08-b0ed-cdcb851d9b75_141583185.jpeg,
Tesco Sweet And Sour Chicken 400G,5.06E+12,4,InStock,"Cooked battered chicken breast pieces within a pineapple, rice vinegar and ginger sauce.",TESCO,Fresh Food,Ready Meals,Ready Meals for 1,https://digitalcontent.api.tesco.com/v2/media/ghs/54ffb176-9e78-4723-a222-0334daac26cd/34267fb1-3c2d-4042-b8e6-e3ac4911f41b.jpeg,,,,
